30	0	30	2022-10-14 00:01	
30	0	30	2022-10-14 00:04	
30	0	30	2022-10-14 00:07	
30	0	30	2022-10-14 00:10	
30	0	30	2022-10-14 00:13	
713	926	1639	2022-10-14 00:13	
718	921	1639	2022-10-14 00:17	
721	920	1641	2022-10-14 00:19	
722	918	1640	2022-10-14 00:20	
725	915	1640	2022-10-14 00:22	
723	917	1640	2022-10-14 00:23	
1	15	16	2022-10-14 09:37	
1	14	15	2022-10-14 09:48	
2	26	28	2022-10-14 09:51	
5	42	47	2022-10-14 09:54	
18	245	263	2022-10-14 09:58	
18	252	270	2022-10-14 10:00	
31	335	366	2022-10-14 10:29	
33	335	368	2022-10-14 10:32	
35	334	369	2022-10-14 10:35	
37	335	372	2022-10-14 10:38	
37	330	367	2022-10-14 10:41	
38	333	371	2022-10-14 10:44	
41	330	371	2022-10-14 10:47	
43	329	372	2022-10-14 10:50	
45	334	379	2022-10-14 10:53	
49	328	377	2022-10-14 10:56	
72	313	385	2022-10-14 10:59	
106	310	416	2022-10-14 11:02	
127	294	421	2022-10-14 11:05	
138	284	422	2022-10-14 11:07	
151	272	423	2022-10-14 11:09	
190	247	437	2022-10-14 11:12	
194	245	439	2022-10-14 11:12	
198	247	445	2022-10-14 11:13	
252	207	459	2022-10-14 11:16	
283	187	470	2022-10-14 11:19	
291	180	471	2022-10-14 11:22	
294	177	471	2022-10-14 11:25	
300	168	468	2022-10-14 11:28	
300	170	470	2022-10-14 11:31	
302	169	471	2022-10-14 11:34	
302	169	471	2022-10-14 11:34	
301	170	471	2022-10-14 11:37	
302	169	471	2022-10-14 11:39	
304	170	474	2022-10-14 11:40	
316	150	466	2022-10-14 11:43	
529	1203	1732	2022-10-14 11:43	
542	1201	1743	2022-10-14 11:46	
551	1190	1741	2022-10-14 11:49	
568	1171	1739	2022-10-14 11:58	
573	1170	1743	2022-10-14 12:01	
576	1166	1742	2022-10-14 12:04	
574	1166	1740	2022-10-14 12:05	
582	1161	1743	2022-10-14 12:08	
588	1154	1742	2022-10-14 12:11	
592	1150	1742	2022-10-14 12:14	
116	0	116	2022-10-14 12:15	
112	0	112	2022-10-14 12:18	
114	0	114	2022-10-14 12:19	
116	0	116	2022-10-14 12:20	
116	0	116	2022-10-14 12:20	
524	536	1060	2022-10-14 12:21	
1845	3615	5460	2022-10-14 12:24	
1977	3498	5475	2022-10-14 13:09	
2386	1881	4267	2022-10-14 13:15	
2674	760	3434	2022-10-14 13:21	
2615	760	3375	2022-10-14 13:26	
2697	750	3447	2022-10-14 13:32	
2712	727	3439	2022-10-14 13:38	
2590	724	3314	2022-10-14 13:44	
2648	706	3354	2022-10-14 13:49	
2581	698	3279	2022-10-14 13:55	
2663	688	3351	2022-10-14 14:01	
2638	695	3333	2022-10-14 14:06	
2591	695	3286	2022-10-14 14:12	
2651	701	3352	2022-10-14 14:18	
2579	702	3281	2022-10-14 14:23	
2635	703	3338	2022-10-14 14:29	
2644	706	3350	2022-10-14 14:35	
2632	710	3342	2022-10-14 14:40	
2631	724	3355	2022-10-14 14:46	
2599	727	3326	2022-10-14 14:52	
2526	772	3298	2022-10-14 14:57	
2594	764	3358	2022-10-14 15:03	
2589	782	3371	2022-10-14 15:09	
2610	765	3375	2022-10-14 15:14	
2548	777	3325	2022-10-14 15:20	
2562	777	3339	2022-10-14 15:26	
2621	784	3405	2022-10-14 15:31	
2625	770	3395	2022-10-14 15:37	
2613	789	3402	2022-10-14 15:43	
