HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4364,1388,550,160,634,49,674,979,119,20,2023-03-01-00-08
4384,1438,554,159,638,54,729,882,121,22,2023-03-01-00-49
4391,1347,544,159,631,50,678,1049,118,24,2023-03-01-01-29
4731,1437,554,159,627,51,920,1049,119,25,2023-03-01-02-10
4694,1440,553,159,628,47,869,1063,120,21,2023-03-01-02-51
3848,1102,545,159,621,52,572,865,122,21,2023-03-01-03-36
4880,1493,553,159,633,52,1017,1043,119,22,2023-03-01-04-17
4412,1311,544,156,632,48,721,1064,119,21,2023-03-01-04-59
4277,1221,546,156,629,46,776,970,118,17,2023-03-01-05-38
4931,1507,547,156,628,47,1109,1005,118,17,2023-03-01-05-52
4662,1373,547,157,629,46,926,1053,117,17,2023-03-01-06-04
4444,1398,549,157,629,46,772,961,117,18,2023-03-01-06-16
4596,1436,550,157,626,46,807,1043,115,19,2023-03-01-06-28
3970,1182,550,157,617,45,660,828,115,18,2023-03-01-06-38
4758,1489,548,158,602,45,923,1063,114,19,2023-03-01-06-50
4348,1247,553,159,662,50,770,984,112,20,2023-03-01-07-01
4689,1272,731,159,699,53,837,1020,109,21,2023-03-01-07-26
4698,1273,812,162,719,53,870,917,105,2,2023-03-01-07-42
4924,674,1757,295,1112,57,524,758,97,2,2023-03-01-08-15
5006,630,1939,322,1308,79,374,667,86,2,2023-03-01-08-28
5041,592,2001,348,1285,77,380,696,85,2,2023-03-01-08-42
4999,567,2040,363,1376,100,350,576,88,2,2023-03-01-08-57
4970,562,2037,324,1330,92,356,593,90,2,2023-03-01-09-11
5025,551,2068,359,1361,86,372,578,93,2,2023-03-01-09-24
4888,468,2255,371,1389,93,256,439,79,2,2023-03-01-09-51
4987,521,2358,394,1320,81,143,568,74,3,2023-03-01-10-06
4998,546,2415,404,1353,76,142,462,78,2,2023-03-01-10-18
5005,525,2405,402,1336,71,124,542,71,2,2023-03-01-10-31
4928,506,2343,393,1353,68,116,537,71,2,2023-03-01-10-43
4969,505,2363,401,1362,69,115,551,71,2,2023-03-01-10-55
4944,560,2299,357,1354,68,115,545,69,2,2023-03-01-11-07
5069,574,2368,399,1263,68,116,676,68,4,2023-03-01-11-20
4927,618,2224,408,1176,63,133,699,73,4,2023-03-01-11-35
4821,1323,1319,272,921,63,322,846,82,8,2023-03-01-11-52
5011,1318,1337,272,912,60,474,877,81,12,2023-03-01-12-08
4851,1346,1165,258,909,81,478,857,85,11,2023-03-01-12-27
4538,1336,910,198,752,84,487,941,97,15,2023-03-01-12-39
4784,1427,992,185,749,84,599,903,100,14,2023-03-01-12-57
4393,1220,999,199,793,80,496,781,92,12,2023-03-01-13-10
4276,1071,1098,226,870,91,478,664,87,8,2023-03-01-13-24
4478,1037,1039,217,901,94,741,664,92,4,2023-03-01-13-37
4742,1086,1203,239,876,82,812,667,94,4,2023-03-01-13-52
4797,1260,1287,255,878,87,674,588,97,13,2023-03-01-14-04
4997,1268,1299,256,879,90,812,622,104,13,2023-03-01-14-19
4836,1136,1292,233,863,84,849,573,108,15,2023-03-01-14-43
4828,1096,1347,245,858,76,878,546,89,14,2023-03-01-14-56
4639,1136,1207,250,801,69,830,566,86,13,2023-03-01-15-10
4369,900,1288,247,792,70,726,558,94,11,2023-03-01-15-22
4854,1102,1289,241,782,59,912,663,93,13,2023-03-01-15-35
4379,873,1302,241,791,82,702,603,94,14,2023-03-01-15-47
4794,1035,1299,241,763,81,853,734,94,16,2023-03-01-16-00
4891,1090,1296,246,761,74,833,799,96,16,2023-03-01-16-15
4351,1025,1261,246,744,69,445,765,92,19,2023-03-01-16-27
4508,1077,1198,221,727,69,663,724,99,20,2023-03-01-16-42
4688,1181,1117,242,701,64,814,749,105,21,2023-03-01-16-56
4637,1182,1063,229,675,61,836,752,108,21,2023-03-01-17-08
4496,1173,1000,221,709,61,668,806,117,23,2023-03-01-17-22
4742,1213,900,207,687,51,917,887,116,22,2023-03-01-17-54
4311,756,1256,222,853,93,641,709,89,7,2023-03-01-19-15
4855,965,1214,223,851,93,959,768,92,6,2023-03-01-19-29
4967,1002,1234,225,823,93,1029,783,90,6,2023-03-01-19-43
4146,790,1186,220,757,86,567,745,95,6,2023-03-01-19-54
4448,980,1166,217,772,85,717,711,95,7,2023-03-01-20-06
4849,1110,1072,213,710,78,1040,814,94,9,2023-03-01-20-20
4813,1162,1034,202,698,73,1003,812,93,11,2023-03-01-20-33
4849,1156,983,205,702,72,1051,849,95,13,2023-03-01-20-47
5001,1291,832,206,687,92,1216,858,97,20,2023-03-01-21-11
4561,1249,773,197,701,85,906,811,100,21,2023-03-01-21-23
4420,1199,759,216,678,75,871,788,102,23,2023-03-01-21-34
3830,1076,695,166,681,77,539,713,103,23,2023-03-01-21-44
4809,1328,721,215,666,72,1202,764,104,24,2023-03-01-21-57
4430,1377,689,196,647,72,723,865,103,26,2023-03-01-22-10
4865,1392,651,195,661,69,1157,875,103,26,2023-03-01-22-24
4514,1339,556,158,680,80,842,959,105,33,2023-03-01-23-58
4292,1341,555,157,679,81,694,885,106,32,2023-03-02-00-10
4386,1060,868,144,773,88,765,818,96,6,2023-03-02-07-45
4655,801,1305,215,888,91,815,748,92,6,2023-03-02-08-04
4679,516,1921,282,1117,91,481,553,84,7,2023-03-02-08-19
4964,500,2146,353,1156,91,546,529,79,8,2023-03-02-08-33
4711,454,1976,313,1136,93,530,538,71,6,2023-03-02-08-46
4735,440,2160,370,1151,92,525,381,72,6,2023-03-02-09-00
4868,434,2149,305,1146,91,519,543,72,5,2023-03-02-09-12
4898,417,2426,306,1156,88,332,474,72,21,2023-03-02-09-51
4795,470,2382,359,1136,99,235,501,67,4,2023-03-02-10-05
4827,459,2398,350,1159,96,238,502,65,6,2023-03-02-10-18
4894,485,2462,349,1157,102,250,467,66,7,2023-03-02-10-32
4956,485,2476,348,1184,93,262,476,67,6,2023-03-02-10-45
