HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4578,721,2128,224,642,69,452,476,147,12,2023-03-17-16-12
4732,747,2156,223,597,66,546,526,148,12,2023-03-17-16-27
4760,761,2107,208,616,85,583,533,147,13,2023-03-17-16-43
4734,1155,1539,157,432,67,841,599,150,18,2023-03-17-17-22
4545,1173,1450,154,429,64,744,579,149,21,2023-03-17-17-40
4532,1194,1369,143,387,30,795,601,163,23,2023-03-17-17-56
4548,1098,1455,150,412,26,849,555,157,22,2023-03-17-18-12
4351,950,1609,152,499,29,661,439,167,26,2023-03-17-18-28
4588,963,1650,152,562,55,742,467,178,26,2023-03-17-18-44
4542,970,1617,158,574,56,769,418,170,24,2023-03-17-19-01
4444,979,1610,151,599,55,646,413,172,25,2023-03-17-19-17
4411,1012,1578,150,604,55,626,390,176,25,2023-03-17-19-31
4461,1006,1526,148,625,57,704,408,169,23,2023-03-17-19-47
4467,1060,1333,146,599,56,868,403,181,23,2023-03-17-20-02
4383,1088,1351,143,606,57,751,378,184,25,2023-03-17-20-18
4249,1099,1263,139,581,52,743,360,179,24,2023-03-17-20-31
4402,1262,1145,123,452,49,881,463,176,23,2023-03-17-20-59
4202,1293,1062,113,447,38,716,493,168,23,2023-03-17-21-13
4397,1222,1016,112,425,36,980,557,172,25,2023-03-17-21-25
4511,1291,1033,107,422,31,1044,525,171,25,2023-03-17-21-40
4154,1258,984,105,417,28,735,564,170,26,2023-03-17-21-55
3820,1155,918,106,432,44,568,547,168,32,2023-03-17-22-20
3757,1104,896,99,419,43,580,556,167,35,2023-03-17-22-31
3890,1102,875,99,429,43,765,520,163,36,2023-03-17-22-41
4104,1318,863,98,408,43,801,514,163,37,2023-03-17-22-53
4406,1327,858,96,410,43,982,631,162,36,2023-03-17-23-05
4175,1304,858,96,447,43,720,643,167,36,2023-03-17-23-16
4086,1252,855,95,433,43,716,626,167,37,2023-03-17-23-27
4002,1253,827,97,437,43,647,633,168,37,2023-03-17-23-37
4393,1335,823,97,435,43,939,657,167,37,2023-03-17-23-50
3859,1122,816,97,436,43,693,589,167,36,2023-03-18-00-00
4277,1313,814,95,453,41,867,633,164,33,2023-03-18-00-40
4290,1353,813,93,451,41,857,623,159,34,2023-03-18-01-19
4539,1362,814,93,452,41,1056,669,155,31,2023-03-18-01-59
4001,1228,814,92,456,42,693,623,154,33,2023-03-18-02-38
4102,1306,815,94,456,42,688,647,158,32,2023-03-18-03-17
4032,1270,838,94,456,42,633,647,157,31,2023-03-18-03-56
4024,1265,817,93,457,42,624,675,156,30,2023-03-18-04-35
4461,1326,815,93,458,42,1020,659,154,29,2023-03-18-05-15
3937,1262,813,93,458,42,608,613,154,29,2023-03-18-05-25
4147,1363,836,93,457,42,639,671,154,27,2023-03-18-05-36
4045,1239,815,93,457,42,714,639,156,25,2023-03-18-05-48
4248,1308,818,93,457,42,832,653,156,24,2023-03-18-05-59
4118,1213,812,94,448,42,813,648,156,28,2023-03-18-06-10
4292,1315,841,94,458,43,819,673,158,28,2023-03-18-06-21
4307,1299,842,96,459,43,847,673,158,29,2023-03-18-06-33
4466,1265,858,99,460,43,1021,675,159,28,2023-03-18-06-45
4258,1265,841,100,466,43,825,673,158,30,2023-03-18-06-57
4440,1256,837,102,468,45,1043,652,156,28,2023-03-18-07-10
4231,1294,854,107,469,47,775,658,154,27,2023-03-18-07-23
4187,1283,879,119,466,45,739,645,148,27,2023-03-18-07-35
4024,1158,917,133,469,46,679,619,152,30,2023-03-18-07-47
3820,1153,1000,155,466,47,406,613,151,31,2023-03-18-07-58
3768,1062,1049,172,476,48,448,553,149,31,2023-03-18-08-10
3725,978,1120,213,510,75,448,488,150,31,2023-03-18-08-20
4117,1059,1193,224,522,67,650,513,150,30,2023-03-18-08-33
4187,1015,1221,230,507,57,786,477,150,31,2023-03-18-08-45
4250,1011,1311,238,492,54,854,404,146,32,2023-03-18-09-00
4082,1025,1370,236,507,54,624,368,156,32,2023-03-18-09-12
4392,1021,1399,241,537,78,907,335,161,32,2023-03-18-09-25
4390,1000,1409,254,554,73,918,316,162,31,2023-03-18-09-38
4130,986,1438,262,559,69,657,295,165,30,2023-03-18-09-50
4168,997,1449,267,596,71,650,284,165,27,2023-03-18-10-11
