HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2652,958,302,36,293,8,521,460,97,21,2022-11-15-00-04
2647,949,298,33,292,8,483,509,96,20,2022-11-15-00-14
2623,956,297,32,292,8,456,505,97,20,2022-11-15-00-23
2590,950,295,29,293,8,477,457,97,21,2022-11-15-00-32
2756,948,293,29,293,8,544,558,97,23,2022-11-15-00-38
2296,749,292,28,293,8,412,430,97,23,2022-11-15-00-40
2767,950,291,27,293,8,551,558,97,27,2022-11-15-00-47
2658,948,290,27,293,8,535,468,97,27,2022-11-15-00-49
2427,793,290,27,293,8,475,450,98,28,2022-11-15-00-57
2749,951,290,27,293,8,548,541,98,28,2022-11-15-00-57
2237,740,288,26,292,8,334,457,98,28,2022-11-15-01-04
2768,950,288,26,292,8,551,561,98,28,2022-11-15-01-06
2744,939,282,25,290,8,548,558,98,29,2022-11-15-01-14
2729,941,283,25,290,8,551,537,98,29,2022-11-15-01-16
2714,952,284,25,290,8,552,509,98,29,2022-11-15-01-23
2718,951,283,24,290,8,550,516,98,30,2022-11-15-01-26
2738,954,282,24,290,8,517,570,96,29,2022-11-15-01-33
2657,935,280,22,290,8,515,512,96,29,2022-11-15-01-36
2702,925,279,21,290,8,518,565,95,30,2022-11-15-01-42
2694,926,277,20,290,8,542,535,95,29,2022-11-15-01-45
2746,942,278,20,288,8,551,564,95,28,2022-11-15-01-52
2711,940,279,20,288,8,517,564,95,28,2022-11-15-01-55
2696,907,279,20,288,8,550,549,96,27,2022-11-15-02-01
2732,944,279,20,288,8,551,547,96,27,2022-11-15-02-04
2689,945,280,20,288,8,550,505,96,25,2022-11-15-02-11
2618,917,280,20,287,8,495,518,96,25,2022-11-15-02-13
2759,958,280,20,284,8,550,566,97,24,2022-11-15-02-21
2711,956,280,20,287,8,543,525,97,23,2022-11-15-02-24
2723,955,280,20,285,8,522,561,97,23,2022-11-15-02-30
2727,962,280,20,288,8,519,560,97,21,2022-11-15-02-33
2538,889,280,20,287,8,456,507,97,22,2022-11-15-02-38
2728,966,280,20,286,8,527,552,97,20,2022-11-15-02-43
2766,959,280,20,287,8,552,571,97,20,2022-11-15-02-49
2726,966,282,20,287,8,521,555,97,18,2022-11-15-02-53
2697,969,282,20,287,8,549,498,96,16,2022-11-15-02-59
2767,965,282,20,287,8,548,573,96,16,2022-11-15-03-03
2692,967,282,20,287,8,514,530,96,16,2022-11-15-03-09
2741,964,283,20,287,8,524,571,96,16,2022-11-15-03-13
2765,968,283,20,287,8,547,568,96,16,2022-11-15-03-18
2660,932,284,20,287,8,514,531,96,16,2022-11-15-03-23
2754,947,284,20,287,8,550,574,96,16,2022-11-15-03-28
2708,949,283,20,288,8,520,556,96,16,2022-11-15-03-32
2766,968,284,20,288,8,546,568,96,16,2022-11-15-03-38
2759,962,284,20,288,8,550,562,96,17,2022-11-15-03-41
2761,965,284,20,288,8,546,566,96,16,2022-11-15-03-48
2684,954,284,20,288,8,523,524,96,15,2022-11-15-03-51
2758,964,283,20,288,8,551,561,96,15,2022-11-15-03-58
2781,972,283,20,288,8,554,573,96,15,2022-11-15-04-01
2760,956,284,20,288,8,552,568,96,16,2022-11-15-04-08
