HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2694,926,277,290,542,535,95,29,2022-11-15-01-45
2746,942,278,288,551,564,95,28,2022-11-15-01-52
2711,940,279,288,517,564,95,28,2022-11-15-01-55
2696,907,279,288,550,549,96,27,2022-11-15-02-01
2732,944,279,288,551,547,96,27,2022-11-15-02-04
2689,945,280,288,550,505,96,25,2022-11-15-02-11
2618,917,280,287,495,518,96,25,2022-11-15-02-13
2759,958,280,284,550,566,97,24,2022-11-15-02-21
2711,956,280,287,543,525,97,23,2022-11-15-02-24
2723,955,280,285,522,561,97,23,2022-11-15-02-30
2727,962,280,288,519,560,97,21,2022-11-15-02-33
2538,889,280,287,456,507,97,22,2022-11-15-02-38
2728,966,280,286,527,552,97,20,2022-11-15-02-43
2766,959,280,287,552,571,97,20,2022-11-15-02-49
2726,966,282,287,521,555,97,18,2022-11-15-02-53
2697,969,282,287,549,498,96,16,2022-11-15-02-59
2767,965,282,287,548,573,96,16,2022-11-15-03-03
2692,967,282,287,514,530,96,16,2022-11-15-03-09
2741,964,283,287,524,571,96,16,2022-11-15-03-13
2765,968,283,287,547,568,96,16,2022-11-15-03-18
2660,932,284,287,514,531,96,16,2022-11-15-03-23
2754,947,284,287,550,574,96,16,2022-11-15-03-28
2708,949,283,288,520,556,96,16,2022-11-15-03-32
2766,968,284,288,546,568,96,16,2022-11-15-03-38
2759,962,284,288,550,562,96,17,2022-11-15-03-41
2761,965,284,288,546,566,96,16,2022-11-15-03-48
2684,954,284,288,523,524,96,15,2022-11-15-03-51
2758,964,283,288,551,561,96,15,2022-11-15-03-58
2781,972,283,288,554,573,96,15,2022-11-15-04-01
2760,956,284,288,552,568,96,16,2022-11-15-04-08
2777,973,284,288,550,571,95,16,2022-11-15-04-11
2756,951,284,288,552,571,94,16,2022-11-15-04-17
2439,828,284,288,443,486,94,16,2022-11-15-04-19
2760,954,284,288,555,569,94,16,2022-11-15-04-27
2744,955,284,288,545,562,94,16,2022-11-15-04-29
2758,963,285,288,553,560,94,15,2022-11-15-04-36
2759,968,285,288,554,555,94,15,2022-11-15-04-39
2430,834,285,288,397,517,94,15,2022-11-15-04-45
2655,934,285,288,522,517,94,15,2022-11-15-04-49
2697,945,285,288,553,516,94,16,2022-11-15-04-57
2681,961,285,288,523,514,94,16,2022-11-15-04-58
2523,852,285,288,493,494,95,16,2022-11-15-05-05
2762,964,285,288,555,559,95,16,2022-11-15-05-07
2759,972,285,287,552,551,95,17,2022-11-15-05-15
2730,940,286,286,555,551,95,17,2022-11-15-05-17
2744,952,285,288,555,552,95,17,2022-11-15-05-24
2729,953,285,288,537,554,95,17,2022-11-15-05-26
2727,925,286,287,557,557,95,20,2022-11-15-05-34
2717,952,285,288,535,542,95,20,2022-11-15-05-37
2485,801,286,288,461,534,95,20,2022-11-15-05-45
2744,939,286,288,557,559,95,20,2022-11-15-05-46
2770,966,286,289,553,561,95,20,2022-11-15-05-55
2770,962,286,289,556,560,96,21,2022-11-15-06-00
2739,932,286,289,556,560,96,20,2022-11-15-06-05
2744,936,287,288,555,562,96,20,2022-11-15-06-09
2782,964,287,287,556,573,95,20,2022-11-15-06-15
2776,957,287,288,554,575,95,20,2022-11-15-06-20
2720,962,287,287,551,519,94,20,2022-11-15-06-25
2679,967,286,287,551,473,95,20,2022-11-15-06-30
2723,935,286,287,541,559,95,20,2022-11-15-06-35
2636,962,284,275,553,448,94,20,2022-11-15-06-40
2595,963,287,288,551,394,92,20,2022-11-15-06-47
2719,967,288,284,549,519,92,20,2022-11-15-06-50
2646,971,288,286,549,443,89,20,2022-11-15-06-57
2650,963,289,286,543,462,88,19,2022-11-15-07-00
2543,936,291,286,504,418,88,20,2022-11-15-07-07
2430,919,293,286,443,382,87,20,2022-11-15-07-08
2229,718,326,292,386,402,86,19,2022-11-15-07-15
2280,658,571,312,270,367,85,17,2022-11-15-07-25
2544,706,652,309,296,475,85,21,2022-11-15-07-30
2687,582,951,360,215,485,79,15,2022-11-15-07-36
2602,563,1024,366,167,387,79,16,2022-11-15-07-40
2664,565,1038,380,176,412,77,16,2022-11-15-07-45
2676,565,1059,381,173,405,77,16,2022-11-15-07-50
2640,545,1080,385,159,381,74,16,2022-11-15-07-56
2506,476,1127,401,68,350,67,17,2022-11-15-08-09
2644,398,1348,476,32,315,64,11,2022-11-15-08-21
2666,382,1404,480,24,309,58,9,2022-11-15-08-31
2640,375,1392,479,23,304,58,9,2022-11-15-08-40
2724,357,1489,497,24,290,58,9,2022-11-15-08-50
2729,337,1521,504,24,281,53,9,2022-11-15-09-04
2770,343,1554,508,33,271,52,9,2022-11-15-09-14
2763,333,1560,506,35,266,54,9,2022-11-15-09-23
2800,329,1561,508,75,263,55,9,2022-11-15-09-33
2707,319,1490,505,66,261,57,9,2022-11-15-09-42
2758,300,1574,515,50,253,57,9,2022-11-15-09-54
2764,291,1603,526,41,237,59,7,2022-11-15-10-05
2818,286,1661,529,32,245,59,6,2022-11-15-10-15
2782,282,1620,532,33,248,60,7,2022-11-15-10-24
2831,286,1660,537,30,250,61,7,2022-11-15-10-34
2601,287,1449,534,31,231,62,7,2022-11-15-10-43
2858,292,1653,535,39,269,63,7,2022-11-15-10-53
2848,289,1661,529,40,255,66,8,2022-11-15-11-02
2832,299,1657,524,39,239,66,8,2022-11-15-11-11
2865,302,1645,522,45,278,65,8,2022-11-15-11-22
2861,302,1621,521,52,291,65,9,2022-11-15-11-32
2730,450,1182,442,256,329,62,9,2022-11-15-11-50
2718,565,1079,342,273,379,67,13,2022-11-15-12-01
2759,608,1020,332,304,408,72,15,2022-11-15-12-13
2738,666,838,319,403,421,73,18,2022-11-15-12-31
2447,715,749,292,208,383,84,16,2022-11-15-12-46
2712,740,785,306,434,358,75,14,2022-11-15-13-00
