HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2375,392,1181,535,146,52,61,8,2022-11-18-14-45
2596,405,1400,505,158,57,63,8,2022-11-18-14-57
2405,382,1254,483,157,54,67,8,2022-11-18-15-07
2486,595,676,244,360,475,123,13,2022-11-18-17-30
2386,621,532,260,392,427,147,7,2022-11-18-17-50
2471,640,544,269,401,460,150,7,2022-11-18-18-07
2251,526,590,318,299,346,163,9,2022-11-18-18-16
2304,525,644,360,270,328,168,9,2022-11-18-18-26
2313,533,656,378,262,308,169,7,2022-11-18-18-34
2359,528,684,394,283,289,174,7,2022-11-18-18-43
2332,523,680,414,259,280,168,8,2022-11-18-18-52
2356,513,692,444,240,289,171,7,2022-11-18-19-00
2397,548,687,437,244,304,169,8,2022-11-18-19-11
2335,556,605,434,258,308,167,7,2022-11-18-19-21
2356,546,634,428,261,304,169,14,2022-11-18-19-29
2434,559,671,415,272,327,173,17,2022-11-18-19-38
2459,571,640,434,292,328,175,19,2022-11-18-19-48
2383,550,640,408,302,300,165,18,2022-11-18-19-57
2365,598,482,415,318,361,173,18,2022-11-18-20-11
2368,669,483,388,318,319,174,17,2022-11-18-20-21
2400,685,455,380,358,328,175,19,2022-11-18-20-31
2353,683,438,372,315,350,178,17,2022-11-18-20-39
2519,732,426,376,393,394,180,18,2022-11-18-20-51
2588,764,404,372,394,453,184,17,2022-11-18-21-00
2508,737,397,378,341,455,183,17,2022-11-18-21-08
2628,786,371,378,439,458,178,18,2022-11-18-21-20
2627,806,326,389,438,469,180,19,2022-11-18-21-30
2572,809,303,396,357,509,180,18,2022-11-18-21-39
2614,819,270,399,419,504,184,19,2022-11-18-21-49
2700,827,261,396,458,555,179,24,2022-11-18-22-00
2442,846,204,376,251,572,169,24,2022-11-18-22-18
2583,853,196,365,376,599,170,24,2022-11-18-22-27
2675,861,194,371,478,573,173,25,2022-11-18-22-38
2308,799,191,360,284,487,162,25,2022-11-18-22-46
2634,877,175,361,476,557,162,26,2022-11-18-22-56
2638,882,195,367,379,630,159,26,2022-11-18-23-04
2517,874,192,372,356,538,159,26,2022-11-18-23-13
2442,877,190,369,218,603,158,27,2022-11-18-23-21
2734,885,186,373,466,640,157,27,2022-11-18-23-30
