HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
2754,507,1216,532,276,141,72,2022-11-18-11-08
2713,552,1098,470,272,234,76,2022-11-18-11-22
2599,717,730,452,314,303,72,2022-11-18-11-35
2695,818,628,441,358,366,73,2022-11-18-11-46
2713,866,598,390,387,383,76,2022-11-18-11-57
2718,857,573,382,404,404,85,2022-11-18-12-09
2720,874,535,385,417,408,88,2022-11-18-12-18
2791,876,527,386,439,459,91,2022-11-18-12-30
2817,880,521,418,431,456,98,2022-11-18-12-43
2665,820,546,462,342,385,95,2022-11-18-12-53
2593,767,586,497,336,300,93,2022-11-18-13-04
2484,640,753,504,312,172,90,2022-11-18-13-17
2452,490,1031,555,250,38,80,2022-11-18-13-27
2518,431,1210,554,206,29,80,2022-11-18-13-37
2593,400,1298,557,209,38,82,2022-11-18-13-47
2593,381,1379,550,184,35,55,2022-11-18-14-10
2398,403,1176,540,184,32,54,2022-11-18-14-18
2475,414,1221,570,174,32,55,2022-11-18-14-27
2455,400,1237,552,151,49,57,2022-11-18-14-36
2375,392,1181,535,146,52,61,2022-11-18-14-45
2596,405,1400,505,158,57,63,2022-11-18-14-57
2405,382,1254,483,157,54,67,2022-11-18-15-07
2486,595,676,244,360,475,123,2022-11-18-17-30
2386,621,532,260,392,427,147,2022-11-18-17-50
2471,640,544,269,401,460,150,2022-11-18-18-07
2251,526,590,318,299,346,163,2022-11-18-18-16
2304,525,644,360,270,328,168,2022-11-18-18-26
2313,533,656,378,262,308,169,2022-11-18-18-34
2359,528,684,394,283,289,174,2022-11-18-18-43
2332,523,680,414,259,280,168,2022-11-18-18-52
2356,513,692,444,240,289,171,2022-11-18-19-00
2397,548,687,437,244,304,169,2022-11-18-19-11
2335,556,605,434,258,308,167,2022-11-18-19-21
2356,546,634,428,261,304,169,2022-11-18-19-29
2434,559,671,415,272,327,173,2022-11-18-19-38
2459,571,640,434,292,328,175,2022-11-18-19-48
2383,550,640,408,302,300,165,2022-11-18-19-57
2365,598,482,415,318,361,173,2022-11-18-20-11
2368,669,483,388,318,319,174,2022-11-18-20-21
2400,685,455,380,358,328,175,2022-11-18-20-31
2353,683,438,372,315,350,178,2022-11-18-20-39
2519,732,426,376,393,394,180,2022-11-18-20-51
2588,764,404,372,394,453,184,2022-11-18-21-00
2508,737,397,378,341,455,183,2022-11-18-21-08
2628,786,371,378,439,458,178,2022-11-18-21-20
2627,806,326,389,438,469,180,2022-11-18-21-30
2572,809,303,396,357,509,180,2022-11-18-21-39
2614,819,270,399,419,504,184,2022-11-18-21-49
2700,827,261,396,458,555,179,2022-11-18-22-00
2442,846,204,376,251,572,169,2022-11-18-22-18
2583,853,196,365,376,599,170,2022-11-18-22-27
2675,861,194,371,478,573,173,2022-11-18-22-38
2308,799,191,360,284,487,162,2022-11-18-22-46
2634,877,175,361,476,557,162,2022-11-18-22-56
2638,882,195,367,379,630,159,2022-11-18-23-04
2517,874,192,372,356,538,159,2022-11-18-23-13
2442,877,190,369,218,603,158,2022-11-18-23-21
2734,885,186,373,466,640,157,2022-11-18-23-30
2626,669,798,556,339,141,117,2022-11-19-10-56
2624,686,781,546,350,136,119,2022-11-19-11-05
2607,683,742,544,360,150,120,2022-11-19-11-15
2629,682,744,515,379,177,124,2022-11-19-11-26
2640,676,741,515,384,182,134,2022-11-19-11-38
2608,723,694,494,338,214,137,2022-11-19-11-49
2693,735,688,470,430,224,139,2022-11-19-12-00
2668,732,684,437,400,258,148,2022-11-19-12-11
2689,738,658,443,442,243,155,2022-11-19-12-22
2690,718,676,456,441,239,152,2022-11-19-12-31
2669,681,716,447,431,233,153,2022-11-19-12-40
2673,665,732,451,429,235,153,2022-11-19-12-48
2677,656,748,450,451,213,152,2022-11-19-12-57
2714,658,757,462,471,201,159,2022-11-19-13-06
2689,659,757,472,441,197,157,2022-11-19-13-15
2664,622,764,479,443,193,156,2022-11-19-13-24
2610,608,777,482,403,179,155,2022-11-19-13-33
2561,559,859,481,354,146,156,2022-11-19-13-47
2526,534,874,486,334,133,159,2022-11-19-13-55
2535,523,914,490,327,120,154,2022-11-19-14-03
2493,507,911,482,313,119,155,2022-11-19-14-11
2514,489,941,489,315,117,157,2022-11-19-14-20
2535,494,959,493,319,106,159,2022-11-19-14-28
2488,470,946,500,322,106,139,2022-11-19-14-37
2543,477,989,507,313,116,136,2022-11-19-14-47
2518,468,995,496,303,115,136,2022-11-19-14-56
2518,469,989,496,307,111,141,2022-11-19-15-06
2492,474,953,506,309,102,143,2022-11-19-15-15
2534,488,950,526,311,111,142,2022-11-19-15-24
2492,488,923,509,314,110,143,2022-11-19-15-33
2460,491,887,524,282,127,144,2022-11-19-15-43
2453,488,870,515,288,136,149,2022-11-19-15-50
2525,518,866,508,302,166,154,2022-11-19-16-04
2497,516,838,482,321,174,153,2022-11-19-16-13
2498,504,831,476,346,173,155,2022-11-19-16-22
2477,525,815,451,352,183,143,2022-11-19-16-30
2551,534,806,484,366,217,135,2022-11-19-16-40
2643,564,791,482,413,249,137,2022-11-19-17-02
2640,546,777,444,423,302,141,2022-11-19-17-12
2636,572,723,414,444,326,151,2022-11-19-17-28
2555,545,722,354,437,327,164,2022-11-19-17-37
2555,554,718,334,456,318,170,2022-11-19-17-48
2530,519,709,348,457,317,175,2022-11-19-17-56
2440,498,695,355,415,291,180,2022-11-19-18-08
2478,483,705,373,465,266,179,2022-11-19-18-18
2524,505,749,383,429,254,198,2022-11-19-18-27
2575,541,758,398,424,267,180,2022-11-19-18-35
2613,553,772,399,438,270,174,2022-11-19-18-43
2597,553,771,408,420,260,178,2022-11-19-18-52
2605,552,793,423,402,253,173,2022-11-19-19-01
2630,549,794,437,406,259,177,2022-11-19-19-09
2561,535,773,425,385,258,176,2022-11-19-19-16
2603,544,789,423,399,262,177,2022-11-19-19-25
2642,527,809,436,420,261,180,2022-11-19-19-36
2622,501,780,432,447,278,175,2022-11-19-19-45
2598,552,780,437,460,184,175,2022-11-19-19-56
2602,474,768,439,460,272,178,2022-11-19-20-06
2685,577,728,429,485,279,178,2022-11-19-20-16
2586,491,684,435,512,276,154,2022-11-19-20-34
2623,581,642,440,500,276,151,2022-11-19-20-45
2517,570,607,430,437,288,152,2022-11-19-20-55
2706,618,600,447,563,326,144,2022-11-19-21-04
2699,618,596,440,552,343,141,2022-11-19-21-15
2753,632,570,440,603,358,140,2022-11-19-21-25
2685,591,552,419,595,380,137,2022-11-19-21-34
2343,365,530,409,498,390,140,2022-11-19-21-43
2722,572,540,400,661,396,142,2022-11-19-21-54
2391,296,532,391,599,421,141,2022-11-19-22-04
2542,583,508,382,532,386,140,2022-11-19-22-14
2694,583,498,391,627,447,138,2022-11-19-22-25
2726,608,483,383,632,475,136,2022-11-19-22-35
2715,609,465,377,665,451,139,2022-11-19-22-45
2468,632,442,382,597,267,138,2022-11-19-22-53
2641,628,447,385,591,438,141,2022-11-19-23-03
2448,651,444,380,487,339,137,2022-11-19-23-11
2763,667,442,372,643,490,139,2022-11-19-23-21
2766,672,438,381,628,499,138,2022-11-19-23-30
2687,667,435,380,635,419,140,2022-11-19-23-44
