HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
2832,299,1657,524,39,239,66,2022-11-15-11-11
2865,302,1645,522,45,278,65,2022-11-15-11-22
2861,302,1621,521,52,291,65,2022-11-15-11-32
2730,450,1182,442,256,329,62,2022-11-15-11-50
2718,565,1079,342,273,379,67,2022-11-15-12-01
2759,608,1020,332,304,408,72,2022-11-15-12-13
2738,666,838,319,403,421,73,2022-11-15-12-31
2447,715,749,292,208,383,84,2022-11-15-12-46
2712,740,785,306,434,358,75,2022-11-15-13-00
2529,626,873,372,295,278,72,2022-11-15-13-15
2559,316,1426,576,74,97,61,2022-11-15-13-28
2584,273,1526,611,37,72,58,2022-11-15-13-38
2574,245,1569,590,47,61,56,2022-11-15-13-49
2596,256,1603,581,46,48,56,2022-11-15-14-00
2591,223,1621,557,66,62,56,2022-11-15-14-09
2598,232,1598,565,83,59,55,2022-11-15-14-18
2473,222,1468,580,81,60,55,2022-11-15-14-27
2671,245,1641,581,70,71,56,2022-11-15-14-47
2670,231,1649,570,75,80,58,2022-11-15-14-58
2648,208,1533,580,172,91,59,2022-11-15-15-14
2639,163,1525,591,178,118,59,2022-11-15-15-24
2626,166,1503,533,222,138,58,2022-11-15-15-37
2651,171,1496,466,265,185,63,2022-11-15-15-48
2725,188,1489,454,295,228,66,2022-11-15-15-59
2606,192,1380,438,266,260,65,2022-11-15-16-09
2720,233,1431,395,304,283,69,2022-11-15-16-20
2768,278,1415,372,330,295,72,2022-11-15-16-33
2699,334,1256,315,390,324,74,2022-11-15-16-48
2226,561,746,142,257,421,88,2022-11-15-17-05
2458,655,722,127,388,465,86,2022-11-15-17-18
2636,737,685,122,562,419,94,2022-11-15-17-33
2521,744,633,133,543,351,98,2022-11-15-17-45
2591,747,716,135,532,346,96,2022-11-15-17-59
2544,684,799,178,454,314,100,2022-11-15-18-13
2562,522,1117,226,313,290,82,2022-11-15-18-27
2560,460,1221,280,240,256,97,2022-11-15-18-46
2590,459,1243,254,270,259,100,2022-11-15-18-56
2558,445,1258,272,248,227,102,2022-11-15-19-06
2526,428,1242,269,236,241,104,2022-11-15-19-15
2572,439,1235,268,257,256,110,2022-11-15-19-25
2571,421,1234,281,234,285,110,2022-11-15-19-36
2609,427,1251,290,248,276,110,2022-11-15-19-45
2577,449,1174,277,266,295,109,2022-11-15-19-57
2524,507,1073,260,240,329,109,2022-11-15-20-13
2438,521,933,242,244,382,110,2022-11-15-20-25
2548,617,816,236,339,418,114,2022-11-15-20-42
2115,712,450,155,268,399,114,2022-11-15-20-54
2446,790,399,147,524,455,114,2022-11-15-21-05
2573,873,383,141,645,403,109,2022-11-15-21-19
2618,901,294,175,687,438,108,2022-11-15-21-30
2686,915,256,170,728,490,109,2022-11-15-21-41
